sample_idx,fold
3,0
5,0
6,0
11,0
16,0
21,0
22,0
23,0
28,0
37,0
44,0
45,0
52,0
56,0
59,0
61,0
64,0
68,0
75,0
79,0
84,0
85,0
88,0
94,0
98,0
107,0
129,0
131,0
135,0
152,0
162,0
168,0
178,0
197,0
201,0
205,0
207,0
208,0
225,0
229,0
240,0
245,0
249,0
260,0
264,0
266,0
267,0
269,0
270,0
271,0
275,0
287,0
295,0
303,0
309,0
310,0
313,0
314,0
317,0
321,0
339,0
360,0
364,0
376,0
377,0
380,0
386,0
401,0
402,0
405,0
408,0
413,0
419,0
421,0
433,0
434,0
445,0
447,0
450,0
456,0
464,0
468,0
474,0
478,0
479,0
484,0
488,0
490,0
491,0
492,0
496,0
497,0
498,0
499,0
504,0
505,0
516,0
522,0
529,0
533,0
551,0
557,0
560,0
565,0
567,0
569,0
579,0
580,0
582,0
589,0
593,0
596,0
600,0
601,0
602,0
605,0
618,0
620,0
622,0
623,0
624,0
625,0
629,0
635,0
638,0
646,0
652,0
654,0
663,0
673,0
679,0
694,0
703,0
704,0
706,0
707,0
710,0
713,0
733,0
734,0
743,0
745,0
750,0
755,0
756,0
757,0
759,0
766,0
768,0
770,0
771,0
772,0
778,0
779,0
782,0
788,0
793,0
794,0
803,0
804,0
807,0
808,0
809,0
811,0
815,0
816,0
819,0
824,0
828,0
830,0
833,0
839,0
840,0
843,0
845,0
847,0
850,0
854,0
855,0
857,0
862,0
877,0
879,0
880,0
883,0
885,0
886,0
888,0
892,0
894,0
903,0
904,0
905,0
908,0
910,0
911,0
913,0
914,0
921,0
929,0
933,0
938,0
950,0
952,0
958,0
967,0
986,0
987,0
990,0
991,0
993,0
998,0
1001,0
1002,0
1004,0
1013,0
1020,0
1029,0
1032,0
1033,0
1034,0
1055,0
1061,0
1083,0
1085,0
1088,0
1090,0
1092,0
1096,0
1098,0
1101,0
1102,0
1109,0
1117,0
1120,0
1121,0
1123,0
1125,0
1126,0
1127,0
1131,0
1142,0
1147,0
1151,0
1159,0
1165,0
1173,0
1175,0
1178,0
1189,0
1190,0
1207,0
1218,0
1220,0
1221,0
1224,0
1245,0
1252,0
1254,0
1259,0
1267,0
1281,0
1289,0
1294,0
1297,0
1300,0
1305,0
1307,0
1317,0
1325,0
1326,0
1328,0
1331,0
1341,0
1343,0
1346,0
1349,0
1352,0
1369,0
1372,0
1379,0
1382,0
1385,0
1390,0
1395,0
1400,0
1404,0
1411,0
1413,0
1421,0
1423,0
1428,0
1433,0
1445,0
1473,0
1479,0
1482,0
1483,0
1484,0
1485,0
1498,0
1499,0
1504,0
1507,0
1512,0
1513,0
1525,0
1528,0
1544,0
1560,0
1570,0
1574,0
1580,0
1583,0
1588,0
1590,0
1596,0
1597,0
1599,0
1604,0
1605,0
1608,0
1622,0
1626,0
1629,0
1634,0
1645,0
1647,0
1651,0
1652,0
1664,0
1674,0
1677,0
1681,0
1686,0
1690,0
1693,0
1695,0
1701,0
1706,0
1710,0
1732,0
1734,0
1736,0
1738,0
1749,0
1762,0
1766,0
1772,0
1784,0
1787,0
1794,0
1795,0
1796,0
1802,0
1808,0
1813,0
1817,0
1821,0
1825,0
1834,0
1849,0
1852,0
1857,0
1865,0
1866,0
1884,0
1907,0
1912,0
1917,0
1923,0
1925,0
1934,0
1936,0
1938,0
1940,0
1941,0
1951,0
1957,0
1959,0
1965,0
1966,0
1969,0
1984,0
1986,0
1987,0
2005,0
2006,0
2007,0
2008,0
2018,0
2027,0
2031,0
2037,0
2047,0
2050,0
2051,0
2053,0
2056,0
2059,0
2085,0
2090,0
2091,0
2096,0
2099,0
2108,0
2111,0
2117,0
2119,0
2127,0
2133,0
2134,0
2141,0
2145,0
2153,0
2154,0
2164,0
2168,0
2186,0
2187,0
2190,0
2191,0
2194,0
2199,0
2200,0
2201,0
2213,0
2216,0
2220,0
2222,0
2226,0
2230,0
2235,0
2236,0
2238,0
2244,0
2248,0
2253,0
2256,0
2263,0
2267,0
2274,0
2276,0
2281,0
2284,0
2287,0
2297,0
2300,0
2304,0
2308,0
2311,0
2312,0
2313,0
2319,0
2323,0
2326,0
2331,0
2332,0
2333,0
2335,0
2340,0
2353,0
2354,0
2356,0
2367,0
2371,0
2373,0
2378,0
2379,0
2381,0
2383,0
2385,0
2386,0
2398,0
2401,0
2414,0
2416,0
2418,0
2421,0
2422,0
2430,0
2434,0
2439,0
2446,0
2448,0
2453,0
2456,0
2466,0
2472,0
2473,0
2474,0
2476,0
2477,0
2480,0
2483,0
2501,0
2503,0
2506,0
2513,0
2544,0
2546,0
2549,0
2551,0
2553,0
2561,0
2564,0
2571,0
2574,0
2584,0
2585,0
2586,0
2591,0
2601,0
2626,0
2639,0
2646,0
2649,0
2651,0
2663,0
2665,0
2670,0
2692,0
2696,0
2697,0
2713,0
2716,0
2724,0
2730,0
2737,0
2739,0
2749,0
2751,0
2757,0
2759,0
2762,0
2763,0
2764,0
2771,0
2776,0
2777,0
2782,0
2786,0
2792,0
2794,0
2796,0
2800,0
2804,0
2808,0
2809,0
2812,0
2813,0
2816,0
2819,0
2829,0
2831,0
2832,0
2839,0
2849,0
2857,0
2858,0
2859,0
2867,0
2870,0
2879,0
2880,0
2891,0
2892,0
2894,0
2898,0
2902,0
2904,0
2911,0
2920,0
2922,0
2925,0
2935,0
2952,0
2956,0
2957,0
2961,0
2973,0
2983,0
2987,0
2988,0
2995,0
2998,0
3000,0
3004,0
3010,0
3012,0
3013,0
3017,0
3029,0
3031,0
3032,0
3056,0
3061,0
3063,0
3068,0
3071,0
3074,0
3080,0
3084,0
3088,0
