dataset,sample_idx,sample_id,fold,label,image_path
TCGA-PRAD,1,ENSG00000000419,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000001.png
TCGA-PRAD,2,ENSG00000000457,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000002.png
TCGA-PRAD,4,ENSG00000000938,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000004.png
TCGA-PRAD,5,ENSG00000000971,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000005.png
TCGA-PRAD,6,ENSG00000001036,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000006.png
TCGA-PRAD,7,ENSG00000001084,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000007.png
TCGA-PRAD,8,ENSG00000001167,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000008.png
TCGA-PRAD,9,ENSG00000001460,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000009.png
TCGA-PRAD,12,ENSG00000001561,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000012.png
TCGA-PRAD,13,ENSG00000001617,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000013.png
TCGA-PRAD,14,ENSG00000001626,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000014.png
TCGA-PRAD,15,ENSG00000001629,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000015.png
TCGA-PRAD,18,ENSG00000002016,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000018.png
TCGA-PRAD,20,ENSG00000002549,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000020.png
TCGA-PRAD,21,ENSG00000002586,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000021.png
TCGA-PRAD,24,ENSG00000002745,1,0,datasets/HACNet_images/TCGA-PRAD/fold_1/class_0/sample_000024.png
TCGA-PRAD,26,ENSG00000002919,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000026.png
TCGA-PRAD,27,ENSG00000002933,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000027.png
TCGA-PRAD,28,ENSG00000003056,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000028.png
TCGA-PRAD,29,ENSG00000003096,1,0,datasets/HACNet_images/TCGA-PRAD/fold_1/class_0/sample_000029.png
TCGA-PRAD,31,ENSG00000003147,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000031.png
TCGA-PRAD,32,ENSG00000003249,1,1,datasets/HACNet_images/TCGA-PRAD/fold_1/class_1/sample_000032.png
TCGA-PRAD,33,ENSG00000003393,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000033.png
TCGA-PRAD,34,ENSG00000003400,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000034.png
TCGA-PRAD,37,ENSG00000003509,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000037.png
TCGA-PRAD,38,ENSG00000003756,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000038.png
TCGA-PRAD,39,ENSG00000003987,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000039.png
TCGA-PRAD,40,ENSG00000003989,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000040.png
TCGA-PRAD,42,ENSG00000004139,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000042.png
TCGA-PRAD,45,ENSG00000004455,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000045.png
TCGA-PRAD,46,ENSG00000004468,1,0,datasets/HACNet_images/TCGA-PRAD/fold_1/class_0/sample_000046.png
TCGA-PRAD,47,ENSG00000004478,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000047.png
TCGA-PRAD,48,ENSG00000004487,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000048.png
TCGA-PRAD,49,ENSG00000004534,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000049.png
TCGA-PRAD,50,ENSG00000004660,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000050.png
TCGA-PRAD,52,ENSG00000004766,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000052.png
TCGA-PRAD,53,ENSG00000004776,1,0,datasets/HACNet_images/TCGA-PRAD/fold_1/class_0/sample_000053.png
TCGA-PRAD,54,ENSG00000004777,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000054.png
TCGA-PRAD,55,ENSG00000004779,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000055.png
TCGA-PRAD,56,ENSG00000004799,1,0,datasets/HACNet_images/TCGA-PRAD/fold_1/class_0/sample_000056.png
TCGA-PRAD,57,ENSG00000004809,1,1,datasets/HACNet_images/TCGA-PRAD/fold_1/class_1/sample_000057.png
TCGA-PRAD,58,ENSG00000004838,1,1,datasets/HACNet_images/TCGA-PRAD/fold_1/class_1/sample_000058.png
TCGA-PRAD,59,ENSG00000004848,1,1,datasets/HACNet_images/TCGA-PRAD/fold_1/class_1/sample_000059.png
TCGA-PRAD,60,ENSG00000004864,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000060.png
TCGA-PRAD,61,ENSG00000004866,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000061.png
TCGA-PRAD,62,ENSG00000004897,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000062.png
TCGA-PRAD,63,ENSG00000004961,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000063.png
TCGA-PRAD,65,ENSG00000005001,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000065.png
TCGA-PRAD,66,ENSG00000005007,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000066.png
TCGA-PRAD,67,ENSG00000005020,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000067.png
TCGA-PRAD,69,ENSG00000005059,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000069.png
TCGA-PRAD,70,ENSG00000005073,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000070.png
TCGA-PRAD,71,ENSG00000005075,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000071.png
TCGA-PRAD,72,ENSG00000005100,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000072.png
TCGA-PRAD,74,ENSG00000005108,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000074.png
TCGA-PRAD,75,ENSG00000005156,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000075.png
TCGA-PRAD,77,ENSG00000005187,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000077.png
TCGA-PRAD,78,ENSG00000005189,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000078.png
TCGA-PRAD,79,ENSG00000005194,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000079.png
TCGA-PRAD,80,ENSG00000005206,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000080.png
TCGA-PRAD,81,ENSG00000005238,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000081.png
TCGA-PRAD,84,ENSG00000005302,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000084.png
TCGA-PRAD,85,ENSG00000005339,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000085.png
TCGA-PRAD,86,ENSG00000005379,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000086.png
TCGA-PRAD,87,ENSG00000005436,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000087.png
TCGA-PRAD,88,ENSG00000005448,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000088.png
TCGA-PRAD,89,ENSG00000005469,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000089.png
TCGA-PRAD,91,ENSG00000005483,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000091.png
TCGA-PRAD,93,ENSG00000005513,1,1,datasets/HACNet_images/TCGA-PRAD/fold_1/class_1/sample_000093.png
TCGA-PRAD,94,ENSG00000005700,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000094.png
TCGA-PRAD,95,ENSG00000005801,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000095.png
TCGA-PRAD,96,ENSG00000005810,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000096.png
TCGA-PRAD,97,ENSG00000005812,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000097.png
TCGA-PRAD,98,ENSG00000005844,1,2,datasets/HACNet_images/TCGA-PRAD/fold_1/class_2/sample_000098.png
