dataset,sample_idx,sample_id,fold,label,image_path
TCGA-LUAD,0,ENSG00000000003,1,1,datasets/HACNet_images/TCGA-LUAD/fold_1/class_1/sample_000000.png
TCGA-LUAD,2,ENSG00000000457,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000002.png
TCGA-LUAD,3,ENSG00000000460,1,1,datasets/HACNet_images/TCGA-LUAD/fold_1/class_1/sample_000003.png
TCGA-LUAD,5,ENSG00000000971,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000005.png
TCGA-LUAD,6,ENSG00000001036,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000006.png
TCGA-LUAD,7,ENSG00000001084,1,1,datasets/HACNet_images/TCGA-LUAD/fold_1/class_1/sample_000007.png
TCGA-LUAD,9,ENSG00000001460,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000009.png
TCGA-LUAD,10,ENSG00000001461,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000010.png
TCGA-LUAD,11,ENSG00000001497,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000011.png
TCGA-LUAD,12,ENSG00000001561,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000012.png
TCGA-LUAD,14,ENSG00000001626,1,0,datasets/HACNet_images/TCGA-LUAD/fold_1/class_0/sample_000014.png
TCGA-LUAD,15,ENSG00000001629,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000015.png
TCGA-LUAD,16,ENSG00000001630,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000016.png
TCGA-LUAD,17,ENSG00000001631,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000017.png
TCGA-LUAD,20,ENSG00000002330,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000020.png
TCGA-LUAD,21,ENSG00000002549,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000021.png
TCGA-LUAD,22,ENSG00000002586,1,2,datasets/HACNet_images/TCGA-LUAD/fold_1/class_2/sample_000022.png
