,label
ENSG00000000003,1
ENSG00000000419,2
ENSG00000000457,2
ENSG00000000460,1
ENSG00000000938,0
ENSG00000000971,2
ENSG00000001036,2
ENSG00000001084,1
ENSG00000001167,2
ENSG00000001460,2
ENSG00000001461,2
ENSG00000001497,2
ENSG00000001561,2
ENSG00000001617,2
ENSG00000001626,0
ENSG00000001629,2
ENSG00000001630,2
ENSG00000001631,2
ENSG00000002016,2
ENSG00000002079,1
ENSG00000002330,2
ENSG00000002549,2
ENSG00000002586,2
ENSG00000002587,1
ENSG00000002726,1
ENSG00000002745,1
ENSG00000002746,1
ENSG00000002822,2
ENSG00000002834,2
ENSG00000002919,2
ENSG00000002933,2
ENSG00000003056,2
ENSG00000003096,2
ENSG00000003137,0
ENSG00000003147,1
ENSG00000003249,1
ENSG00000003393,2
ENSG00000003400,2
ENSG00000003402,2
ENSG00000003436,2
ENSG00000003509,2
ENSG00000003756,2
ENSG00000003987,1
ENSG00000003989,1
ENSG00000004059,2
ENSG00000004139,2
ENSG00000004142,2
ENSG00000004399,2
ENSG00000004455,2
ENSG00000004468,2
ENSG00000004478,1
ENSG00000004487,2
ENSG00000004534,2
ENSG00000004660,2
ENSG00000004700,2
ENSG00000004766,2
ENSG00000004776,0
ENSG00000004777,1
ENSG00000004779,2
ENSG00000004799,0
ENSG00000004838,0
ENSG00000004848,1
ENSG00000004864,1
ENSG00000004866,2
ENSG00000004897,2
ENSG00000004948,1
ENSG00000004961,2
ENSG00000004975,2
ENSG00000005001,1
ENSG00000005007,2
ENSG00000005020,2
ENSG00000005022,2
ENSG00000005059,2
ENSG00000005073,1
ENSG00000005075,2
ENSG00000005100,2
ENSG00000005102,0
ENSG00000005108,2
ENSG00000005156,2
ENSG00000005175,2
ENSG00000005187,2
ENSG00000005189,1
ENSG00000005194,2
ENSG00000005206,2
ENSG00000005238,2
ENSG00000005243,2
ENSG00000005249,2
ENSG00000005302,2
ENSG00000005339,2
ENSG00000005379,2
ENSG00000005381,2
ENSG00000005421,1
ENSG00000005436,2
ENSG00000005448,2
ENSG00000005469,2
ENSG00000005471,1
ENSG00000005483,2
ENSG00000005486,2
ENSG00000005513,2
ENSG00000005700,2
ENSG00000005801,2
ENSG00000005810,2
ENSG00000005812,2
ENSG00000005844,0
ENSG00000005882,2
ENSG00000005884,2
ENSG00000005889,2
ENSG00000005893,2
ENSG00000005961,2
ENSG00000005981,2
ENSG00000006007,2
ENSG00000006015,2
ENSG00000006016,1
ENSG00000006025,2
ENSG00000006042,2
ENSG00000006047,1
ENSG00000006062,2
ENSG00000006071,2
ENSG00000006118,1
ENSG00000006125,2
ENSG00000006194,2
ENSG00000006210,0
ENSG00000006282,2
ENSG00000006283,1
ENSG00000006327,2
ENSG00000006377,1
ENSG00000006432,2
ENSG00000006451,2
ENSG00000006453,1
ENSG00000006459,2
ENSG00000006468,0
ENSG00000006530,2
ENSG00000006534,2
ENSG00000006555,2
ENSG00000006576,2
ENSG00000006606,1
ENSG00000006607,2
ENSG00000006611,1
