dataset,sample_idx,sample_id,fold,label,image_path
TCGA-KIRC,0,ENSG00000000003,1,0,datasets/HACNet_images/TCGA-KIRC/fold_1/class_0/sample_000000.png
TCGA-KIRC,1,ENSG00000000005,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000001.png
TCGA-KIRC,2,ENSG00000000419,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000002.png
TCGA-KIRC,4,ENSG00000000460,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000004.png
TCGA-KIRC,7,ENSG00000001036,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000007.png
TCGA-KIRC,8,ENSG00000001084,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000008.png
TCGA-KIRC,9,ENSG00000001167,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000009.png
TCGA-KIRC,10,ENSG00000001460,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000010.png
TCGA-KIRC,12,ENSG00000001497,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000012.png
TCGA-KIRC,13,ENSG00000001561,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000013.png
TCGA-KIRC,14,ENSG00000001617,1,1,datasets/HACNet_images/TCGA-KIRC/fold_1/class_1/sample_000014.png
TCGA-KIRC,15,ENSG00000001626,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000015.png
TCGA-KIRC,17,ENSG00000001630,1,0,datasets/HACNet_images/TCGA-KIRC/fold_1/class_0/sample_000017.png
TCGA-KIRC,18,ENSG00000001631,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000018.png
TCGA-KIRC,19,ENSG00000002016,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000019.png
TCGA-KIRC,20,ENSG00000002330,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000020.png
TCGA-KIRC,24,ENSG00000002726,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000024.png
TCGA-KIRC,25,ENSG00000002746,1,0,datasets/HACNet_images/TCGA-KIRC/fold_1/class_0/sample_000025.png
TCGA-KIRC,26,ENSG00000002822,1,1,datasets/HACNet_images/TCGA-KIRC/fold_1/class_1/sample_000026.png
TCGA-KIRC,27,ENSG00000002834,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000027.png
TCGA-KIRC,29,ENSG00000002933,1,1,datasets/HACNet_images/TCGA-KIRC/fold_1/class_1/sample_000029.png
TCGA-KIRC,30,ENSG00000003056,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000030.png
TCGA-KIRC,31,ENSG00000003096,1,0,datasets/HACNet_images/TCGA-KIRC/fold_1/class_0/sample_000031.png
TCGA-KIRC,32,ENSG00000003137,1,0,datasets/HACNet_images/TCGA-KIRC/fold_1/class_0/sample_000032.png
TCGA-KIRC,33,ENSG00000003147,1,2,datasets/HACNet_images/TCGA-KIRC/fold_1/class_2/sample_000033.png
